seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Zachary,Copeland,21,Fugneb River,Madipip,CA,02243,$8592.21,YELLOW,10/29/2058
2,Genevieve,Alexander,51,Ubeva Square,Edablu,KS,38278,$5653.45,BLUE,01/25/1980
3,Charles,Drake,24,Awwus Place,Ajeacaapo,SD,03416,$7963.03,YELLOW,10/19/2018
4,Dustin,Curtis,20,Noocu River,Iflocfi,NM,19642,$5822.51,BLUE,03/12/1953
5,Dustin,Dunn,45,Jeol Square,Tomezegog,MI,92145,$8459.71,BLUE,12/05/1907
6,Charlotte,Rodriquez,23,Muce Terrace,Jibcobeju,CT,76083,$7258.43,RED,07/06/1924
7,Francis,Ramos,57,Kiowa Park,Maktuva,NJ,36409,$8920.92,YELLOW,08/02/2026
8,Sally,Craig,60,Atid Avenue,Sabuliza,PA,22630,$7231.59,BLUE,06/29/2043
9,Isabel,Simon,59,Jevuw View,Sobelsog,NC,10152,$908.43,WHITE,04/06/2001
10,Georgia,Hampton,59,Wawa River,Guazobuz,MS,51003,$9133.82,RED,08/10/1928
11,Francis,Douglas,21,Rawew Loop,Ukaguewu,PA,91042,$4185.13,WHITE,02/05/1942
12,Benjamin,Valdez,40,Sabve Junction,Nehsaol,CA,06177,$6712.16,WHITE,04/24/1925
13,Ethel,Hernandez,48,Duwce Park,Deldappiw,FL,99167,$2125.44,WHITE,06/24/2029
14,Luella,Watson,47,Hiwe Point,Totonviw,CT,26003,$5109.61,RED,12/03/2038
15,Gussie,Townsend,62,Tecpe Terrace,Toohinep,OK,92608,$1011.48,YELLOW,07/25/1989
16,Rachel,Reid,34,Meuta Glen,Eropuin,FL,55084,$5859.71,YELLOW,08/01/1912
17,Cory,Johnson,44,Kiblo Loop,Suzkoho,TX,72465,$6315.61,YELLOW,06/22/2024
18,Wayne,Duncan,52,Feku Way,Luhorer,CA,77363,$2678.86,RED,02/16/2035
19,Sue,Bishop,47,Falo Drive,Fahjaken,ND,54316,$6901.67,GREEN,01/07/1964
20,Ada,Haynes,43,Olmab Mill,Notlewezi,WY,84802,$6164.64,GREEN,06/10/2045
21,Danny,Boone,18,Tuja Ridge,Hozteav,DC,80419,$4649.36,RED,05/22/2003
22,Nathaniel,Huff,19,Ujbeh Square,Gesiku,AR,84796,$2270.83,GREEN,05/18/2029
23,Adele,Garcia,45,Upizug Drive,Fossafol,IL,04438,$9575.57,YELLOW,02/05/1940
24,Robert,Zimmerman,50,Bofwu Pass,Kamuwjo,CO,93183,$5505.49,BLUE,02/24/2027
25,Caleb,Perez,48,Rodow Square,Buhadpa,MO,21518,$300.63,RED,07/24/2019
26,Alvin,Valdez,49,Aladol Pass,Jiligu,ME,23247,$7888.29,YELLOW,01/23/1930
27,Millie,Elliott,21,Ajlo Pike,Kifkazzoj,KY,91646,$9534.74,GREEN,04/26/1957
28,Lillian,Padilla,39,Egamu River,Sumilzu,WI,52088,$2889.11,YELLOW,11/16/1946
29,Vera,Harrington,52,Edivuw Plaza,Sikwoco,SC,04113,$6231.52,WHITE,02/27/1969
30,Leah,Santiago,31,Afipi Highway,Rozhujer,HI,51246,$5462.02,YELLOW,07/25/2017
31,Lydia,Morales,24,Izije Glen,Miwokdo,WI,43631,$3094.58,BLUE,09/22/1909
32,Brian,Vargas,60,Fajup Mill,Picidnu,KY,55489,$6179.69,RED,02/19/2048
33,Hester,Kelly,49,Ashi Place,Odadoera,ID,54899,$8811.20,BLUE,08/17/2051
34,Gregory,Hamilton,52,Ufhow Court,Kalobfa,AL,27082,$3562.79,WHITE,06/19/1961
35,Luis,Schultz,37,Tufu Pike,Muhreror,IA,13426,$4153.17,RED,01/05/1928
36,Darrell,Gardner,49,Azumew Ridge,Doificin,ME,80177,$7895.48,BLUE,11/10/1907
37,Bernice,Phillips,30,Nezcub Square,Tagijsu,VT,58649,$3681.86,BLUE,11/02/2070
38,Tony,Henry,40,Baca View,Cejikagus,NV,02407,$9203.49,BLUE,09/24/1982
39,Inez,McCoy,49,Wepo Pass,Nopoma,TN,15162,$5679.28,YELLOW,09/25/1962
40,Austin,Owen,63,Zoohi Road,Ijozoci,IN,95654,$7902.65,RED,06/26/1953
41,Margaret,Barber,49,Zultur Manor,Luhegdev,OH,87248,$2451.66,WHITE,10/19/2002
42,Mamie,Bailey,32,Tujci Parkway,Tawfuskoj,DE,26432,$9464.07,GREEN,05/19/1938
43,Polly,Phillips,62,Timo Glen,Sivlepfuh,MI,19202,$4418.45,WHITE,11/16/1980
44,Thomas,Lewis,28,Tihet Highway,Ukteugu,DC,92332,$8596.90,BLUE,02/17/1978
45,Brent,Stevenson,31,Zefco Pass,Pibtuwit,VA,29001,$5059.00,GREEN,09/20/1999
46,Katherine,Collier,44,Poji Turnpike,Zorijed,NC,25826,$5958.86,YELLOW,08/10/1914
47,Esther,Franklin,61,Zuse Plaza,Apicoka,NV,94733,$2784.84,BLUE,12/15/2068
48,Lewis,Williamson,37,Vidi Drive,Gennanez,NH,30650,$7819.64,BLUE,03/21/1965
49,Winifred,Becker,27,Doje Extension,Poevlu,UT,45649,$1774.18,YELLOW,07/09/1949
50,Louis,Bradley,34,Goil Center,Pandofpu,CT,83818,$5564.34,YELLOW,11/01/1973
51,Delia,Luna,31,Sejov Parkway,Jevticja,MA,39319,$3015.21,GREEN,01/24/1903
52,Ethan,Hernandez,32,Rocoz Street,Enigafo,AK,29028,$5112.12,WHITE,01/23/1967
53,Jane,Douglas,49,Huhe Trail,Zehamja,MA,85872,$8407.84,BLUE,10/29/1993
54,Devin,Wood,38,Govfo Avenue,Vekapasi,ND,24300,$9416.85,WHITE,02/24/2050
55,Marion,McCarthy,35,Ebiva Trail,Afezizovi,KY,09123,$4258.00,GREEN,02/22/2010
56,Wesley,Hogan,54,Pevi Lane,Uzmupih,PA,35433,$1132.61,YELLOW,07/18/1919
57,Kenneth,Johnston,33,Iwepu Boulevard,Efuzoalu,VT,47849,$2355.31,GREEN,09/26/2003
58,Mayme,White,57,Rewhed River,Opsune,NY,00044,$768.40,WHITE,10/08/1982
59,Johanna,Bell,50,Kottil Street,Zesdukhih,UT,82223,$6514.46,WHITE,01/15/1984
60,Sara,Bennett,35,Ocara Drive,Hamudeku,CT,28862,$8596.21,YELLOW,07/27/2047
61,Sean,Romero,21,Ocpub Trail,Foteaw,RI,30657,$8712.76,RED,03/11/2044
62,Rachel,Rhodes,24,Wera Glen,Gunazhu,PA,24887,$9789.21,BLUE,04/12/1954
63,Nathan,Davis,28,Kaiv Ridge,Tenalci,VA,66731,$8063.45,BLUE,12/23/1996
64,Lora,Wood,34,Hebef Center,Ajdipnib,HI,52885,$5964.63,YELLOW,08/06/1966
65,Chester,Newton,21,Pefgen Highway,Cegsofeti,OK,02657,$4262.01,GREEN,11/04/1970
66,Max,Sanders,42,Sivru Court,Sihivo,AR,70772,$6004.31,YELLOW,06/22/1960
67,Virgie,Padilla,49,Mizi Turnpike,Kehlippe,OH,78456,$669.88,YELLOW,07/18/1931
68,Cornelia,Parsons,19,Ahico Glen,Orfedtij,HI,08665,$421.44,BLUE,09/10/1912
69,Todd,Jefferson,21,Lolna Key,Zoijore,NV,49374,$3926.38,RED,06/07/2060
70,Vera,Sandoval,53,Koju Parkway,Geerubiw,MS,62199,$6974.66,BLUE,01/05/1979
71,Mittie,Hamilton,61,Ziwi Avenue,Cuzakte,NE,38265,$2966.55,BLUE,09/24/2025
72,Herman,Schmidt,52,Poeko Court,Jufajge,AR,94440,$5303.61,WHITE,08/02/2041
73,Mathilda,Santiago,27,Nobno Glen,Boakahak,FL,37871,$897.28,WHITE,10/27/2016
74,Shawn,Perkins,45,Bobe Street,Woipehe,ID,20923,$1583.12,RED,03/17/1993
